,headline,link,category_name,category_link,time_stamp
58,Bayern's Musiala says 'no-one to blame' for injury,https://www.bbc.com/sport/football/articles/cj3rvzepvpzo,European Football,https://www.bbc.com/sport/football/european,2025-07-09 12:51:51.055344
59,'End of an era' - Modric plays last game for Real Madrid,https://www.bbc.com/sport/football/articles/c0eprr27zv4o,Spanish La Liga,https://www.bbc.com/sport/football/spanish-la-liga,2025-07-09 12:51:51.055344
60,How Mbappe's PSG exit paved way for Dembele to become the 'best',https://www.bbc.com/sport/football/articles/c5ygle4d705o,European Football,https://www.bbc.com/sport/football/european,2025-07-09 12:51:51.055344
61,Musiala suffers broken leg and dislocated ankle,https://www.bbc.com/sport/football/articles/c80p33nv83xo,European Football,https://www.bbc.com/sport/football/european,2025-07-07 12:51:51.055344
62,Arsenal sign Zubimendi from Real Sociedad for £60m,https://www.bbc.com/sport/football/articles/c0m88ml0x7mo,Premier League,https://www.bbc.com/sport/football/premier-league,2025-07-06 12:51:51.055344
63,England midfielder Gomes joins Marseille,https://www.bbc.com/sport/football/articles/cwyqr23vdqyo,European Football,https://www.bbc.com/sport/football/european,2025-07-04 12:51:51.055344
64,Why are Forest set to take Palace's place in Europa League?,https://www.bbc.com/sport/football/articles/c4g859lxyngo,Premier League,https://www.bbc.com/sport/football/premier-league,2025-07-12 12:51:51.055344
65,The downfall of Brescia & potential rebirth in Serie C,https://www.bbc.com/sport/football/articles/c98wnll30wxo,European Football,https://www.bbc.com/sport/football/european,2025-07-06 12:51:51.055344
66,Pressley 'under no illusions' about Dundee task,https://www.bbc.com/sport/football/articles/c80p2d8dx3eo,Dundee,https://www.bbc.com/sport/football/teams/dundee,2025-07-16 12:07:51.055344
67,Motherwell leave it late as East Kilbride stun Raith Rovers,https://www.bbc.com/sport/football/articles/cly89wkr110o,Scottish League Cup,https://www.bbc.com/sport/football/scottish-league-cup,2025-07-15 23:51:51.055344
68,Rangers track Mbuyamba & Celtic explore Edouard return - gossip,https://www.bbc.com/sport/football/articles/c98j29vyn6ro,Scottish Football,https://www.bbc.com/sport/football/scottish,2025-07-16 07:51:51.055344
69,New winger Gassama will 'add an extra dimension' for Rangers,https://www.bbc.com/sport/football/articles/cyvj1yv9mmyo,Scottish Prem,https://www.bbc.com/sport/football/scottish-premiership,2025-07-15 14:51:51.055344
70,'Enough said' on Miller future at Motherwell,https://www.bbc.com/sport/football/articles/cn7d85j76dko,Motherwell,https://www.bbc.com/sport/football/teams/motherwell,2025-07-15 12:51:51.055344
71,Villa sign Baijings on permanent deal from Bayern,https://www.bbc.com/sport/football/articles/c87323w3xd3o,Women's Football,https://www.bbc.com/sport/football/womens,2025-07-16 10:51:51.055344
72,WSL record appearance holder Nobbs joins Newcastle,https://www.bbc.com/sport/football/articles/cm2zdnyy173o,Women's Football,https://www.bbc.com/sport/football/womens,2025-07-15 19:51:51.055344
73,Morocco and Zambia win to reach Wafcon quarter-finals,https://www.bbc.com/sport/football/articles/cly1914y133o,Africa Sport,https://www.bbc.com/sport/africa,2025-07-13 12:51:51.055344
74,Wafcon return provides 'hope' in war-torn eastern DR Congo,https://www.bbc.com/sport/football/articles/cgmwlgxk4e4o,Africa Sport,https://www.bbc.com/sport/africa,2025-07-12 12:51:51.055344
75,South Africa rescue point against Tanzania at Wafcon,https://www.bbc.com/sport/football/articles/crk687xz3lgo,Africa Sport,https://www.bbc.com/sport/africa,2025-07-12 12:51:51.055344
76,'Statement amount' - what first £1m signing will mean for WSL,https://www.bbc.com/sport/football/articles/c62869p67e4o,Women's Football,https://www.bbc.com/sport/football/womens,2025-07-12 12:51:51.055344
